,name,food_group,count
616,pacific cod,aquatic foods,2
617,burdock,vegetables,2
618,orange pepper,vegetables,2
619,elderberry,fruits,2
620,hibiscus tea,vegetables,2
621,pacific halibut,aquatic foods,2
622,root vegetables,vegetables,2
623,irish moss,aquatic foods,2
624,lovage,herbs and spices,2
625,walleye,aquatic foods,2
626,swede,vegetables,2
627,antelope,animal foods,2
628,purslane,herbs and spices,2
629,turbot,aquatic foods,2
630,arepa,dishes,2
631,aubergine,vegetables,2
632,borage,herbs and spices,2
633,energy drink,beverages,2
634,chewing gum,confectioneries,2
635,carp,aquatic foods,2
636,chocolate mousse,confectioneries,2
637,prickly pear,fruits,2
638,casein,milk and milk products,2
639,quesadilla,dishes,2
640,teff,herbs and spices,2
641,camembert,milk and milk products,2
642,sturgeon,aquatic foods,1
643,zwieback,cereals and cereal products,1
644,rooster,animal foods,1
645,chinese cinnamon,herbs and spices,1
646,junket,confectioneries,1
647,winter savory,herbs and spices,1
648,coho salmon,aquatic foods,1
649,salsify,vegetables,1
650,yardlong bean,vegetables,1
651,jackfruit,fruits,1
652,potato gratin,dishes,1
653,hickory nut,nuts,1
654,fishes,aquatic foods,1
655,chum salmon,aquatic foods,1
656,sablefish,aquatic foods,1
657,breakfast cereal,cereals and cereal products,1
658,cardoon,vegetables,1
659,japanese pumpkin,vegetables,1
660,salmonberry,fruits,1
661,sockeye salmon,aquatic foods,1
662,cassava,vegetables,1
663,triticale,cereals and cereal products,1
664,gefilte fish,dishes,1
665,chinook salmon,aquatic foods,1
666,tallow,fats and oils,1
667,muscadine grape,fruits,1
668,sweet orange,fruits,1
669,milkshake,confectioneries,1
670,rape,vegetables,1
671,conchiglie,cereals and cereal products,1
672,pecan nut,nuts,1
673,dab,aquatic foods,1
674,potato bread,cereals and cereal products,1
675,empanada,dishes,1
676,lemon verbena,herbs and spices,1
677,yautia,vegetables,1
678,beaver,animal foods,1
679,corn salad,vegetables,1
680,french toast,cereals and cereal products,1
681,trail mix,snack foods,1
682,spirit,beverages,1
683,black radish,vegetables,1
684,ceylon cinnamon,herbs and spices,1
685,spirulina,aquatic foods,1
686,jellyfish,aquatic foods,1
687,mallard duck,animal foods,1
688,arrowhead,vegetables,1
689,snail,aquatic foods,1
690,opossum,animal foods,1
691,black raspberry,fruits,1
692,garden tomato,vegetables,1
